rec_id,depname,includes,altname,country,cntrycd,stprov,latitude,longitude,agemy,depage,oreton,cugrd,mogrd,augrd,aggrd,deptype,empldepth,dep5km10km,dep5km,dep_id,latdeg,latmin,latsec,londeg,lonmin,lonsec,rockdep,rockmap,rockmapdep,discdate,startdate,ore_a,ore_b,ore_area,alter_a,alter_b,alter_area,sulf_a,sulf_b,sulf_area,comments
11,Carrizal,,,Argentina,AGTN,San Juan,-30,-69.16666667,261,261,,0,0,0,0,17,0,,,327,-30,0,,-69,-10,,"dacite porphyry, rhyolite porphyry",,"sandstone, siltstone",1943,,0,0,0,1,0.4,0.3,0,0,0,"In rhyolite porphyry: ?219 ppm Cu, 114 ppm Zn, 140 ppm Pb, 6.4 ppm Ag, and 3.9 ppm Au. 90% of the deposit area is covered by alluvium and colluvium."
12,Cerro  Mercedario,,,Argentina,AGTN,San Juan,-31.95,-70.05,13,13,,0,,0,0,17,0,,,331,-31,-57,,-70,-3,,monzonite porphyry,,,,,0,0,0,0,0,0,0,0,0,
13,El  Oculto,,,Argentina,AGTN,Jujuy,-24.13333333,-66.6,0,,,0,0,0,0,17,0,22c,,314,-24,-8,,-66,-36,,"breccia, dacite porphyry",,"conglomerate, sandstone",,,,0,0,0,0,0,0,0,0,"600 ppm Cu, 0.1 g/t Au, 85 ppm Mo"
14,El  Salado,,,Argentina,AGTN,San Juan,-30.93333333,-69.63333333,0,,,0,0,0,0,17,0,,22c,329,-30,-56,,-69,-38,,"rhyodacite, rhyolite porphyry",,"agglomerate, conglomerate, granodiorite, limestone, tonalite",1994,,0,0,0,0,0,0,0,0,0,"Classic zoned porphyry copper deposit: 0.3?0.8% Cu, 0.1?0.2 g/t Au"
15,Filo  Colorado,,,Argentina,AGTN,Catamarca,-27.38333333,-66.21666667,,,,0,0,0,0,21a,0,20c,,324,-27,-23,,-66,-13,,"breccia, rhyodacite porphyry",,"andesite, basalt, granite, schist",1971,,0,0,0,1.2,1.2,1.1,0,0,0,"Resource: 9 Mt at 0.25% Cu, 0.02% Mo, and 0.02 g/t Au."
16,Inca  Viejo,,,Argentina,AGTN,Salta,-25.14444444,-66.7625,15,15,,0,0,0,0,17,0,22c,,318,-25,-8,-40,-66,-45,-45,"breccia, dacite porphyry",quartzite,"andesite porphyry, sandstone, siltstone",Ancient time,,0,0,0,3,1.5,3.5,0,0,0,Grades range from 0.1 to 0.7% Cu; 0.12 to 0.25 g/t Au. Exposed.
17,La  Voluntad,,,Argentina,AGTN,Mendoza,-39.18333333,-70.63333333,281,281,250,0.15,0,0,0,17,0,,,338,-39,-11,,-70,-38,,tonalite porphyry,"andesite, conglomerate, dacite, mudstone, rhyolite, sandstone","granite, granodiorite, quartz diorite, tuff",1934,,0,0,0,8,4,25,0,0,0,Exposed.
18,Los  Azules,,,Argentina,AGTN,San Juan,-31.24166667,-70.17666667,,,,0,0,0,0,17,0,,,661,-31,-14,-30,-70,-10,-36,"breccia, rhyolite",,,1998,,303,0.9,2.3,8,5,31.4,0,0,0,Enriched porphyry copper deposit of >200 Mt at 0.7% Cu and 0.1 g/t Au. Exposed.
19,Nevados  de  Famatina,La Mejicana (Cu-Au epithermal vein system),la Estrechura,Argentina,AGTN,Rioja,-29,-67.75,4.4,5?3.8,300,0.37,0.06,0.3,0.9,17,0,,25e (4),326,-29,0,,-67,-45,,"dacite porphyry, rhyodacite porphyry",granite,"sandstone, shale, siltstone",1904,,0,0,0,6,4.5,5.1,0,0,0,30% of the deposit area is covered by alluvium and colluvium.
20,Pancho  Arias,,,Argentina,AGTN,Salta,-24.2,-65.86666667,15,15,,0,0,0,0,17,0,,,315,-24,-12,,-65,-52,,dacite porphyry,,,,,0,0,0,0,0,0,0,0,0,
21,Paramillos  Norte,,,Argentina,AGTN,Mendoza,-32.41666667,-69.08333333,14,19?8.5,186,0.58,0,0,0,17,0,"17, 22c",25c (3),334,-32,-25,,-69,-5,,"andesite porphyry, hornfels, latite porphyry, breccia, trachyte","agglomerate, metasedimentary rocks","andesite, monzodiorite",middle 19th century,,0,0,0,0,0,0,2,1.5,2.4,"Some drill hole values 0.031 to 0.054% Mo, locally 0.6 g/t Au. Exposed."
22,Paramillos  Sur,,,Argentina,AGTN,Mendoza,-32.48333333,-69.1,14,19?8.5,187,0.53,0.01,0,0,17,0,"17, 22c, 25c",25c,335,-32,-29,,-69,-6,,"andesite porphyry, monzodiorite porphyry, diorite porphyry",,"andesite, calcareous shale, conglomerate, graywacke, rhyolite porphyry, sandstone, tuff",16 century,,0,0,0,0,0,0,2,1,1.6,Grades and tonnages early estimates. 50% of the deposit area is covered by Quaternary sediments.
23,Quebrada  del  Bronce,,,Argentina,AGTN,Mendoza,-37.4325,-70.46666667,45,45,,0,0,0,0,17,0,,,336,-37,-25,-57,-70,-28,,"breccia, diorite porphyry, hornfels, skarn",,"diorite, andesite, limestone, sandstone, siltstone",1978,,0,0,0,0.8,0.6,0.4,0,0,0,Geochemical anomalies of 291 ppm Cu and 0.03 to 0.09 g/t Au. Exposed.
24,San  Jorge,,,Argentina,AGTN,Mendoza,-32.25,-69.43333333,260,263?257,381,0.39,0,0.15,0,17,0,20c,,333,-32,-15,,-69,-26,,"andesite porphyry, breccia, granodiorite porphyry","ignimbrite, andesite","conglomerate, granite porphyry, greywacke, mudstone, sandstone, shale, siltstone",1960,,0.8,0.4,0.25,0,0,0,0,0,0,0.25% Cu cut-off. 60% of the deposit area is covered by alluvium and colluvium.
25,Taca  Taca  Alto,,Taca Taca Upper,Argentina,AGTN,Salta,-24.56666667,-67.78333333,29,29,,0,0,0,0,21a,0,,17,316,-24,-34,,-67,-47,,"breccia, dacite porphyry, rhyodacite porphyry",,"andesite, dacite, granite, granodiorite, ignimbrite",1967,,0,0,0,3.5,2.3,6.3,0,0,0,"Resources: 19 Mt at 0.29% Cu, 0.08% Mo, and 0.03 g/t Au. Exposed."
26,Taca  Taca  Bajo,,Taca Taca Lower,Argentina,AGTN,Salta,-24.58333333,-67.73333333,31,33.6?29,553,0.54,0.016,0.15,0,17,0,,21a,317,-24,-35,,-67,-44,,"granite porphyry, dacite porphyry, rhyolite porphyry",,"aplite, clastic sedimentary rocks, dacite, granite, granodiorite, tuff",1967,,,,,3.4,2,5.3,,,,"Primary ore: 440 Mt at 0.58% Cu, 0.18 g/t Au, 0.02% Mo (0.3% Cu cut-off grade).  Supergene alunite Ar-Ar age: 24 Ma. Exposed."
27,Yalguaraz,,,Argentina,AGTN,Mendoza,-32.13777778,-69.43916667,263.5,270?257,,0,0,0,0,17,0,20c,,332,-32,-8,-16,-69,-26,-21,"breccia, dacite porphyry, diorite, quartz diorite",,argillite,1961,,0,0,0,2,1.6,2.5,0,0,0,"Drill holes: 0.14 to 0.5% Cu, 0.13 to 8.1 g/t Au. Exposed."
28,Agarak,,,Armenia,ARMA,,38.92194444,46.18833333,39.5,42?37,125,0.56,0.025,0.6,0,17,0,20c,,397,38,55,19,46,11,18,"breccia, granodiorite porphyry, granite porphyry, diorite porphyry",,"granosyenite, monzonite, quartz monzonite",1845,,0.7,0.25,0.14,0,0,0,0,0,0,"Traces to 0.2% Mo, 0.024 ppm PGE, Re?Os mineralization age is 44?56 Ma"
29,Ankavan,,,Armenia,ARMA,Pambak ore district,40.63333333,44.51666667,33,33,,0,0,0,0,17,0,,18b,393,40,38,,44,31,,"aplite, granodiorite porphyry, granosyenite porphyry, lamprophyre, pegmatite, skarn",,"granite, limestone, marble, quartz diorite, schist",,,0,0,0,0,0,0,4,0.7,2.2,
30,Dastakert,,,Armenia,ARMA,,39.375,46.02277778,22,22,,0,0,0,0,17,0,,,394,39,22,30,46,1,22,"diabase porphyry, diorite porphyry, lamprophyre, pegmatite",,"andesite, gabbro-diorite, granodiorite, hornfels, quartz diorite",,,0,0,0,0,0,0,0,0,0,
31,Kadjaran,,Kadzharan,Armenia,ARMA,,39.14388889,46.13777778,22,20?24,1700,0.27,0.055,0.65,2,17,1.5,,17,395,39,8,38,46,8,16,"aplite, diorite porphyry, gabbro, granite porphyry, granodiorite porphyry, hornfels, lamprophyre, quartz monzonite, skarn, syenite porphyry","diorite, limestone","andesite, andesite breccia, andesite tuff, granite, granodiorite, monzonite",,1950,0,0,0,0,0,0,0,0,0,0.016 ppm PGE in ore;  84 ppb Pt and 24 ppb Pd in concentrate.
32,Shikahoh,,,Armenia,ARMA,,39.1,46.46666667,143.5,142?145,,0,0,0,0,17,0,21a,,396,39,6,,46,28,,"aplite, diabase dike, granite porphyry, granodiorite porphyry, pegmatite, quartz diorite porphyry",,"andesite, andesite porphyry, andesitic basalt porphyry, dacite porphyry, diorite, gabbro, gabbro-diorite, granodiorite, granite",,,0,0,0,0,0,7,0,0,0,
33,Teghout,,,Armenia,ARMA,,41.10472222,44.85666667,121,Early Cretaceous or Late Eocene,450,0.36,0.022,0,0,17,2.5,28a,,392,41,6,17,44,51,24,"aplite, diabase dike, diorite porphyry, granite porphyry, granodiorite porphyry, lamprophyre, pegmatite, rhyodacite porphyry",,"andesite porphyry, basalt porphyry, diorite, gabbro-diorite, granodiorite, quartz diorite, tuff, hornfels, skarn",1930s,,0,0,0,0,0,0,0,0,0,
34,Cadia  Hill/Ridgeway,"Cadia East, Cadia Quarry",,Australia,AUNS,New South Wales,-33.46666667,149,448.5,460?437,1210,0.32,0,0.75,0,20c,0,20c,"20c, 18b (2)",571,-33,-28,,149,0,,"aplite, breccia, granosyenite, monzodiorite porphyry, monzonite porphyry, quartz monzonite porphyry","latite, monzodiorite, siltstone, syenite","andesite flow, andesite pyroclastics, basaltic andesite, conglomerate, diorite porphyry, limestone, mudstone, shoshonite, siltstone, skarn",1992,1999,1,0.35,0.27,7,3,16.5,3.5,1.6,4.4,40% of the deposit area is covered by Silurian siltstone (up to 80 m thick) and/or Tertiary basalt (up to 40 m thick). Macquarie volcanic arc.
35,Cargo,,,Australia,AUNS,New South Wales,-33.61666667,148.85,416,447?385,,0,0,0,0,20c,0,20c,"25a (?), 39a",572,-33,-37,,148,51,,"breccia, dacite porphyry, dacite tuff, monzonite porphyry, quartz diorite","conglomerate, shale, siltstone","adamellite, andesite, andesite porphyry, basalt, limestone, trachyandesite, tuff",1870,,0,0,0,0,0,0,0,0,0,Resources 27 Mt at 0.2% Cu. Production 1870?1904 of 318 kg Au and 10 t Cu; radiating lodes (veins?) with 30 to 102 g/t  Au; alluvial placers at 6 to 40 g/t Au. Exposed. Macquarie volcanic arc.
36,Copper  Hill,,,Australia,AUNS,New South Wales,-33.05,148.8666667,447,447¡À5,136,0.33,0,0.32,0,20c,0,,18b,570,-33,-3,,148,52,,"andesite porphyry, dacite porphyry, feldspar porphyry, hornfels, quartz diorite, skarn","basalt, conglomerate, graywacke, quartzite, sandstone, shale","andesite, dacite, limestone",1845,,0,0,0,3.5,1,2.7,0,0,0,"0.02 g/t Pd have been reported. Production 1841?1845 of 3,300 t at 0.72% Cu. Exposed. Macquarie volcanic arc."
37,Endeavour,"Endeavour 22, 26N, 27, 48","Goonumbla, Northparkes",Australia,AUNS,New South Wales,-32.91666667,148.0333333,441.5,446?437,130.6,1.1,0,0.5,3.5,20c,0,25a,20c,569,-32,-55,,148,2,,"basalt dike, breccia, gabbro, monzonite porphyry, quartz monzonite porphyry, syenite porphyry","conglomerate, granite, limestone,  rhyolite, sandstone, skarn,  shale","monzodiorite, monzonite, pyroclastics, quartz monzonite, shoshonite, trachyandesite, trachyte, volcaniclastic breccia, volcaniclastic conglomerate",1870s; 1976,1995,1.7,0.96,1.3,6.5,3.7,19,0,0,0,The deposit area is mostly covered by regolith (soil) up to 30 m thick. Macquarie volcanic arc.
38,Frogmore,,,Australia,AUNS,New South Wales,-34.27388889,148.84,,Silurian?,,0,0,0,0,17,0,,,646,-34,-16,-26,148,50,24,,,"granite, ignimbrite, dacite porphyry, dacite volcanic rocks, rhyolite volcanic rocks, shale, siltstone",1860s,,0,0,0,0,0,0,0,0,0,Macquarie volcanic arc.
39,Mandamah,,,Australia,AUNS,New South Wales,-33.96666667,147.4166667,445,Late Ordovician,,0,0,0,0,20c,0,,,650,-33,-58,,147,25,,,,"andesite, diorite porphyry, monzodiorite, ultramafic volcanic rocks, volcaniclastics rocks",1995,,0,0,0,0,0,0,0,0,0,Drillhole intersections: 206 m at 0.37% Cu and 0.51 g/t Au; 50 m at 0.5% Cu and 0.8 g/t Au; 29 m at 0.2% Cu and 0.3 g/t Au. 100% of the deposit area is covered by alluvium 50 m thick. Macquarie volcanic arc.
40,Marsden,,,Australia,AUNS,New South Wales,-33.71666667,147.5333333,0,Late Ordovician?,115,0.5,0,0.3,0,20c,0,,18b,662,-33,-43,,147,32,,"diorite, granodiorite, monzonite",n.d.|,"diorite, sandstone, siltstone",n.d.|,,0,0,0,0,0,0,0,0,0,Covered >10 m. Macquarie volcanic arc.
41,Peak  Hill,,,Australia,AUNS,New South Wales,-32.75,148.2166667,0,,,0,0,0,0,20c,1.5,,25e,567,-32,-45,,148,13,,"dacite, dacite porphyry, dacite tuff",,"andesite, andesite tuff, andesite breccia",1889,,0,0,0,3.3,0.6,1.6,0,0,0,High-sulfidation gold deposit may have an associated porphyry Cu-Au. Resources: 11.27 Mt at 0.11% Cu and 1.29 g/t Au. 1889?1919 production: 2.338 t Au and 25.5 t Cu. Exposed. Macquarie volcanic arc.
42,Yeoval,,Lady Lizzie,Australia,AUNS,New South Wales,-32.76666667,148.6666667,390,411?370,,0,0,0,0,17,5,"20c, 22c",,568,-32,-46,,148,40,,"basalt, dacite porphyry, diorite porphyry, granodiorite porphyry, rhyolite porphyry","andesite, andesite tuff, chert, conglomerate, diorite, gabbro, rhyolite, limestone, pyroxenite, shale, trachyte, tuff","adamellite, granite, granodiorite",,,0.5,0.3,0.12,0,0,0,0,0,0,"Resources: 37 Mt at 0.23% Cu and 0.007% Mo; production from narrow veins: 27,000 t at 3% Cu and 15 g/t Au. Exposed. Macquarie volcanic arc."
43,Andromache  River,,,Australia,AUQL,Queensland,-20.57,148.26,265,265,,0,0,0,0,17,0,,,649,-20,-34,-12,148,15,36,"aplite, pegmatite",,granodiorite,,,0,0,0,0,0,0,0,0,0,Apparently low grade.
44,Chinaman  Creek,,,Australia,AUQL,Queensland,-25.235,151.6161111,250,250,,0,0,0,0,17,0,,,639,-25,-14,-6,151,36,58,"breccia, rhyolite porphyry",,granodiorite,,,0,0,0,0,0,0,1.2,1,0.94,Apparently low grade.
45,Coalstoun,,,Australia,AUQL,Queensland,-25.68333333,151.9166667,235,235,85,0.29,0,0,0,17,0,,17,565,-25,-41,,151,55,,"andesite porphyry, breccia, dacite, diorite, diorite porphyry, quartz diorite, rhyolite, tonalite porphyry, trondhjemite",,"andesite, basalt, chert, graywacke, rhyolite, shale, siltstone",early 1900s,,0.45,0.2,0.07,1.8,0.8,1.1,1.2,0.7,0.66,Exposed.
46,Kiwi  Carpet,,,Australia,AUQL,Queensland,-24.66833333,150.8763889,235,235,,0,0,0,0,17,0,,,640,-24,-40,-6,150,52,35,"breccia, granodiorite porphyry",,granite,,,0,0,0,0,0,0,0,0,0,Apparently low grade.
47,Limonite  Hill,,,Australia,AUQL,Queensland,-23.69,150.63,246,246,,0,0,0,0,21a,0,,,641,-23,-41,-24,150,37,48,breccia,,"andesite, granodiorite, granodiorite porphyry, quartz diorite porphyry, tuff",,,0,0,0,0,0,0,0,0,0,Apparently low grade.
48,Moonmera,,,Australia,AUQL,Queensland,-23.6,150.4,245,245,,0,0,0,0,17,0,"17, 28a",17,563,-23,-36,,150,24,,"andesite breccia, aplite, breccia, granodiorite porphyry, quartz monzonite porphyry",,"granodiorite, hornfels, quartz diorite, sandstone, tonalite",1890s,,0,0,0,3,2.5,5.9,2.6,2,4.1,"Exploration 1961?1969, ?0.5% equivalent Cu (includes Mo). Apparently low grade."
49,Mount  Cannindah,,,Australia,AUQL,Queensland,-24.81666667,151.3666667,235,235,,0,0,0,0,20c,0,,"25b, 18b",564,-24,-49,,151,22,,"breccia, dacite porphyry, dolerite dike, skarn",,"andesite, basalt, conglomerate, diorite, dolerite, granodiorite, limestone, mudstone, rhyolite, tonalite",1889,,0.36,0.13,0.04,0,0,0,0,0,0,"Resources of 1990: 3 Mt at 1.3% Cu, 0.9 g/t Au, and 28 g/t Ag."
50,Mt.  Abbot,,Abbot,Australia,AUQL,Queensland,-20.2,147.95,0,,,0,0,0,0,17,0,,,647,-20,-12,,147,57,,,,"andesite, argillic sedimentary rocks, adamellite, granodiorite, rhyodacite, dacite",,,0,0,0,0,0,0,0,0,0,Apparently low grade.
51,Mt.  Leslie,,,Australia,AUQL,Queensland,-20.34194444,140.1688889,0,,,0,0,0,0,17,0,,,648,-20,-20,-31,140,10,8,,,"andesite, quartz diorite, sandstone, volcanic rocks",,,0,0,0,0,0,0,0,0,0,Apparently low grade..
52,Mt.  Poole,,,Australia,AUQL,Queensland,-29.83944444,152.3713889,0,,,0,0,0,0,17,0,,,645,-29,-50,-22,152,22,17,,,"granodiorite, quartz porphyry",,,0,0,0,0,0,0,0,0,0,Apparently low grade.
53,Mt.  Robin,,,Australia,AUQL,Queensland,-20.57861111,146.9777778,285,285,,0,0,0,0,17,0,,,636,-20,-34,-43,146,58,40,,,"granite, granodiorite, granodiorite porphyry",,,0,0,0,0,0,0,0,0,0,Apparently low grade.
54,Mt.  Turner,,,Australia,AUQL,Queensland,-18.25361111,143.4236111,310,310,,0,0,0,0,17,0,,22c,637,-18,-15,-13,143,25,25,"breccia, rhyolite porphyry, granodiorite porphyry",,granite,1975,,0,0,0,0,0,0,0,0,0,"Grades: <0.05% Cu, <0.01% Mo."
55,Struck  Oil,,,Australia,AUQL,Queensland,-23.61111111,150.4577778,250,250,,0,0,0,0,17,0,,,642,-23,-36,-40,150,27,28,granodiorite porphyry,,"andesite, tuff",,,0,0,0,0,0,0,0,0,0,Apparently low grade.
56,Town  Creek,,,Australia,AUQL,Queensland,-20.42472222,146.7786111,285,285,,0,0,0,0,17,0,,,638,-20,-25,-29,146,46,43,,,"granite, granodiorite, granodiorite porphyry",,,0,0,0,0,0,0,0,0,0,Apparently low grade.
57,Whitewash,,,Australia,AUQL,Queensland,-24.8075,150.8730556,235,235,,0,0,0,0,17,0,,,643,-24,-48,-27,150,52,23,"andesite, aplite, felsite, trachyandesite, and trachyte dikes",,"granite porphyry, granodiorite, pegmatite, quartz monzonite",,,,,,,,,,,,"Grades: 0.1?0.3% Cu, 0.05?0.2% Mo. Apparently low grade. Exposed."
58,Yeppoon,,,Australia,AUQL,Queensland,-23.00277778,150.6927778,220,220,,0,0,0,0,21a,0,,,644,-23,0,-10,150,41,34,"aplite, breccia, granodiorite porphyry, quartz latite porphyry",,"andesite, graywacke, mudstone, rhyolite, tuff",,,0.9,0.35,0.25,0,0,0,0,0,5,"Grades: <0.2% Cu, <0.02% Mo. Exposed."
59,Anabama  Hill,,,Australia,AUSA,South Australia,-32.76555556,140.2369444,440,450?430,,0,0,0,0,21a,0,,,566,-32,-45,-56,140,14,13,"breccia, dacite porphyry, granite porphyry, quartz porphyry","limestone, rhyolite, rhyolitic tuff","adamellite, dolomite, granite, granodiorite, quartzite, sandstone, siltstone, tillite",1966,,0,0,0,2.5,0.5,0.98,0,0,0,"Best intersections of 1 to 3 m wide at 0.26 to 0.65% Cu and 0.6% Mo. There are greisen capped hills at Anabama and Netley. Extrusive equivalents may be rhyolites and rhyolite tuffs in the region. The granite is a biotite granite consisting of microcline, orthoclase, quartz, and biotite, although at Anabama Hill the rock is a biotite granodiorite with up to 15% biotite and some muscovite. The greisen is commonly brecciated. It is riddled with veins, pods, and bands of milky quartz. Beneath the greisen, the alteration consists of muscovite, chlorite, and epidote. The best rotary drill hole contained 67m at 1040 ppm Cu and 128 ppm Mo. There is only minor fracturing of the rocks."
60,Dogwood,,,Australia,AUVT,Victoria,-37.57361111,148.0086111,0,Early Devonian?,,0,0,0,0,17,0,,,655,-37,-34,-25,148,0,31,,,"granodiorite, tonalite, turbidite, volcanic rocks",1980,,0,0,0,0,0,0,0,0,0,"The best drillhole intersection: 24.4 m at 0.8% Cu. Deposit area is covered by Miocene-Pliocene fluvial sand and gravel, and by colluvium."
61,Thursdays  Gossan,,,Australia,AUVT,Victoria,-37.61138889,142.6075,0,Cambrian?,,0,0,0,0,17,0,,,656,-37,-36,-41,142,36,27,"quartz diorite porphyry, dacite porphyry, feldspar porphyry",,"andesite, andesite breccia, basalt, chert, dacitic tuffite, monzodiorite, tonalite, sandstone, siltstone,",mid-1970s,,0,0,0,3,1.2,2.8,0,0,0,The best drillhole intersection: 36 m at 2.02% Cu and deeper 229 m at 0.22% Cu. The prospect area is partially covered by colluvium.
62,Copper  Hills,,,Australia,AUWA,Western Australia,-21.6575,119.9577778,0,Archean,,0,0,0,0,17,0,,,651,-21,-39,-27,119,57,28,quartz-feldspar porphyry,,"andesite, basalt, dacite, felsic tuff, granite porphyry, tuff",,1952,0,0,0,0,0,0,0,0,0,"Production: 68.5 t Cu. Drrillhole intersects 30 to 50 m at 0.3 to 1.5% Cu, mainly <1% Cu in primary ore."
63,Coppin  Gap,,,Australia,AUWA,Western Australia,-20.88888889,120.1083333,3234,3234¡À117,152,0.12,0.09,0,2.2,21a,0,,,562,-20,-53,-20,120,6,30,"breccia, dacite porphyry, quartz-feldspar porphyry, granodiorite",,"arkose, basalt, chert, granite, iron formation, rhyolite, shale, siltstone, tuff, peridotite",1970,,1,0.5,0.39,0,0,0,0,0,0,
64,Kelly,,,Australia,AUWA,Western Australia,-21.79166667,119.8722222,0,Archean,,0,0,0,0,17,0,,,653,-21,-47,-30,119,52,20,"breccia, quartz-feldspar porphyry",,"basalt, felsic tuff",,,0,0,0,0,0,0,0,0,0,
65,Damirli,,,Azerbaijan,AZAN,,40.01666667,46.75,135,Late Jurassic Cretaceous,,0,0,0,0,21a,0,22c,,591,40,1,,46,45,,"andesitic dacite porphyry, granodiorite porphyry, rhyodacite porphyry, tonalite porphyry",,"andesite, conglomerate, diorite, limestone,  rhyodacite",,,0,0,0,0,0,0,3,2,4.7,"Reported grade (after drilling): 0.1 to 0.8% Cu, 0.001 to 0.02% Mo, 0.1 to 0.2 g/t Au, 4 to 6 g/t Ag."
66,Garadag,,,Azerbaijan,AZAN,,40.63333333,45.85,135,Late Jurassic Cretaceous,,0,0,0,0,17,0,21a,,592,40,38,,45,51,,"diabase, diorite porphyry, quartz diorite porphyry, rhyodacite porphyry",,"andesite, plagiogranite porphyry",,,0,0,0,0,0,0,0,0,0,"Reported grades: 0.2 to 0.8% Cu, 0.001 to 0.008% Mo. Azerbaijan government announced reserves about 320 Kt ore."
67,Goshgarchai,,,Azerbaijan,AZAN,,40.53333333,46.15,135,Late Jurassic Cretaceous,,0,0,0,0,17,0,,17,594,40,32,,46,9,,"diabase porphyry, diorite porphyry, granodiorite porphyry","andesite, andesite tuff, diabase, diorite, gabbro, gabbrodiorite, limestone, quartz diorite","andesite, andesite tuff, diabase, diorite, gabbro, gabbrodiorite, quartz diorite",,,0,0,0,0,0,0,1.5,0.9,1.1,"Reported 0.2 to 2.5%, average 0.4% Cu, ?1.0 g/t Au, 2.5 to 40 g/t Ag. Exposed."
