rec_id,depname,altname,includes,cntrycd,country,stprov,latdeg,latmin,latsec,latitude,londeg,lonmin,lonsec,longitude,deptype,discdate,startdate,oreton,cugrd,zngrd,pbgrd,augrd,aggrd,stringer,comments,depage,agemy,ore_area,ore_a,ore_b,alter_area,alter_a,alter_b,geochem,geochem_a,geochem_b,geophys,geophys_a,geophys_b,cover,lithotect,postmindef,meta_grade,synminint,postminint,syndepctrl
598,Asen-East,,,SWDN,Sweden,,64,0,0,64,19,0,0,19,Felsic,<1949,1940s,0.18,1.1,0.8,0.2,0.61,31,no,Massive.,Proterozoic,1950,,,,,,,,,,,,,,"Bimodal-felsic in epicontinental arc",,,,,stratigraphic
599,Asen-West,,,SWDN,Sweden,,64,0,0,64,19,0,0,19,Felsic,<1949,1940s,0.48,1.3,1.9,0.2,0.71,52,no,Massive.,Proterozoic,1950,,,,,,,,,,,,,,"Bimodal-felsic in epicontinental arc",,,,,stratigraphic
600,"Ash Shizm",,,SAAR,"Saudi Arabia",,26,27,18,26.455,37,32,18,37.5383333333333,Bimodal-Mafic,1965,,1,2.92,0.74,0.14,0,18,yes,"Funnel-shaped stockwork could be the feeder zone with missing overlying massive sulfide body.  Tholeiitic to calc-alkaline island arc.",Proterozoic,800,,0.3,0.3,,,,,,,,,,0,"Bimodal-mafic in epicontinental arc",yes,,yes,yes,stratigraphic
601,"Austin Brook",Nipisiguit,,CNNB,Canada,"New Brunswick",47,23,48,47.3966666666667,-65,-49,-33,-65.8258333333333,Felsic,"1907 (1953)","1907 (1953)",0.9,0.1,2.93,1.86,0,34,no,"Massive. Caldera, island arc rift basin. Nipisiguit iron deposit was discovered in 1907, massive sulfides recognized in 1953.",Ordovician,445,,,,,,,,,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",yes,greenschist,yes,yes,stratigraphic
602,Avoca,,,IRLD,Ireland,,52,51,0,52.85,-6,-9,0,-6.15,Felsic,1720,1720,27.25,0.84,0,0,0,0,yes,"Massive, stringer, sheet-like bodies. Pond Lode is exposed at surface. East and West deposits about 500 m apart, includes North Lode, South Lode (1000 m long, 20 m wide, 300 m depth), Pond Lode (750 m long, 750 m depth), Tigroney, Cronebane (600 m long), Connary, Kilmacoo. Ensialic island arc (calc-alkaline island arc affinity).",Ordovician,455,,2.25,0.1,,,,,,,,,,0,"Bimodal-felsic in epicontinental arc",yes,greenschist,yes,yes,stratigraphic
603,Ayala,,,PLPN,Philippines,Zamboanga,7,17,0,7.28333333333333,122,8,0,122.133333333333,Bimodal-Mafic,,1974,16.17,0.18,1.6,1,0,0,,Vein.,Eocene-Pliocene,20,,,,,,,,,,,,,,"Bimodal-mafic in oceanic arc",,,,yes,
604,Aznacollar,,,SPAN,Spain,Sevilla,37,31,1,37.5169444444444,-6,-14,-55,-6.24861111111111,Felsic,1969,1979,90,0.51,1.8,0.85,0.48,37,yes,"Massive, stockwork, 0.05 km thickness. Back-arc basin or intra-continental rift basin.","Upper Devonian-Lower Carboniferous",340,,1.2,0.4,,,,,,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",yes,"lower greenschist",yes,yes,stratigraphic
605,Bagacay,,Gila-Gila,PLPN,Philippines,"West Samar",11,47,42,11.795,125,16,6,125.268333333333,Bimodal-Mafic,1954,1956,5.59,3,2.3,0,0.25,17,yes,"Massive, dissemination, several lenses, gently dipping, largest (Guila Guila) 500 m long, 50 m thick. Gossan at surface.",Eocene-Pliocene,20,,2.4,0.5,,,,,,,,,,0,"Bimodal-mafic in oceanic arc",no,,no,yes,stratigraphic
606,Bailadores,,,VNZL,Venezuela,Merida,8,11,0,8.18333333333333,-71,-50,0,-71.8333333333333,Felsic,1700s,1876,,,,,,,no,"Minimum tonnage: 3.5 million t @ 2.0% Cu, 17% Zn, 6% Pb, 68 g/t Ag, open at depth. Massive to semi-massive in two layers, separated by a few meters of ash tuff, 1150 m strike length, 70-250 m down-dip extent, 14.9 m thick (lower horizon), 10.8 m (upper horizon), open along strike and depth; banded layers; dissemination in footwall and hanging wall,stringer chalcopyrite-pyrite in footwall, but no stringer zone yet defined. SW end of deposit offset 150 m by NW-trending left-lateral fault.",Devonian-Carboniferous,330,,,,,,,"Depleted Na2O and CaO in footwall",,,,,,,"Siliciclastic-felsic in mature epicontinental arc",yes,,no,yes,stratigraphic
607,Balaklala,"Windy Camp",,USCA,"United States",California,40,43,33,40.7258333333333,-122,-29,-59,-122.499722222222,Felsic,>1890,1890s,2.1,2.8,1.3,0,0.96,34,no,"Massive elongate basin-shaped lens.",Devonian,390,,,,,,,,,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",yes,,,,stratigraphic
608,"Bald Mountain",,"CL Zone",USME,"United States",Maine,46,44,18,46.7383333333333,-68,-44,0,-68.7333333333333,Bimodal-Mafic,1977,,33,1.4,1.2,0,0,0,yes,"Massive, dissemination. Fault separates orebodies into a main zone and a smaller western zone. Extends to 250 m depth. CL Zone is 400 m to the north and along strike. Underlain by chloritic stringer zone. Ensialic primitive island arc rift basin, calc-alkaline rhyolite, tholeiitic basalt. Stratigraphy given for core CL-36.",Ordovician,450,0.01,1.8,0.08,,,,,,,,,,0,"Bimodal-mafic in epicontinental arc",no,"sub-greenschist (prehnite-pumpellyite)",yes,yes,"stratigraphic contact, synvolcanic graben"
609,Bama,,,SPAN,Spain,Pontevedra,42,52,40,42.8777777777778,-8,-20,-57,-8.34916666666667,Mafic,1969,,20,0.55,0,0,0,0,yes,"Massive, dissemination. Disseminated ore thought to be stockwork. Ore zone flanked by 10 m of garnetiferous amphibolite, a good source for local exploration.",Silurian,430,,,,,,,,,,,,,,"Mafic in primitive oceanic backarc",yes,amphibolite,no,yes,stratigraphic
610,Bandagan,"Bandegan, Bandgan",,PKSN,Pakistan,,28,50,35,28.8430555555556,65,3,31,65.0586111111111,,<1964,,,,,,,,yes,"Massive, stringer. Resource 0.029 million t @ 0.8% Cu, 0.7 g/t Au, 5 g/t Ag, open at depth.",Eocene,50,0.0005,,,,,,,,,,,,,unclassified,,,,,
611,Barlo,,,PLPN,Philippines,Pangasinan,15,59,9,15.9858333333333,119,57,18,119.955,Mafic,1961,1962,2.3,1.9,2.22,0,0.093,4,,"Massive. Limonitic gossan at surface. Accreted oceanic crust.",Eocene,50,,0.8,0.3,,,,,,,,,,0,"Mafic in primitive oceanic backarc",yes,greenschist,no,no,"gouge zone"
612,Barrett,,,USME,"United States",Maine,44,58,8,44.9688888888889,-67,-13,-37,-67.2269444444444,Bimodal-Mafic,,,0.4,1.75,2,0,7.9,20.6,yes,"Dissemination, breccia-fillings, irregular stringer. Extensional rift basin in post-arc setting.",Silurian,430,,,,,,,,,,,,,,"Bimodal-mafic in epicontinental arc",,,,,stratigraphic
613,"Barrington Lake",,,CNMN,Canada,Manitoba,56,57,42,56.9616666666667,-100,-17,-42,-100.295,Bimodal-Mafic,1972,,,,,,,,no,"Massive, 0.00459 km thickness. Resource 0.227 million t @ 2.5% Cu, not fully explored.",Proterozoic,1800,,0.11,0.09,,,,,,,,,,,"Bimodal-mafic in oceanic arc",,,,,
615,Baskoy,,,TRKY,Turkey,Artvin,41,18,47,41.3130555555556,41,30,59,41.5163888888889,Felsic,,,0.09,3.18,1.24,0,0,0,yes,"Massive and veins. Veins are fissure-filled perpendicular to an anticlinal fold axis, 1 mm to 3 cm wide, spaced 3 cm to 50 cm apart, in interbedded sandstone.","Upper Cretaceous",80,,,,,,,,,,,,,,"Bimodal-felsic in epicontinental arc",yes,,,yes,
616,"Bathurst Norsemines A-Jo Zones","Hackett River","Main A, Jo",CNNT,Canada,"Northwest Territory",65,54,54,65.915,-108,-21,-47,-108.363055555556,Felsic,1956,,5.56,0.38,11.22,1.24,0.51,190,yes,"Massive, dissemination, stockwork. Surface gossan. Overturned sequence in northwest trending synclinorium, plunging southeast. Calc-alkaline.",Archean,3200,,0.975,0.3,,,,,,,,,,0,"Bimodal-felsic in epicontinental arc",yes,amphibolite,no,yes,stratigraphic
617,Bawdwin,,,MYAN,"Union of Myanmar","Shan State, Tawng Peng",23,7,0,23.1166666666667,97,18,0,97.3,Felsic,"1400s (1891)",1400s,34.1,0.48,13,0.09,0.06,232,yes,"Massive, vein or lens, interlacing seams, forming small stockworks, impregnation of the country rock. Chinaman Lode is the main ore body extends to depths of at least 198 m. Surface gossans. Mining by the Chinese ended about 1868, and redeveloped by the Europeans starting in 1901. Possible rifted continental shelf.",Cambrian,510,,0.9,0.03,,0.365,0.03,,,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",yes,"lower greenschist",no,no,stratigraphic
618,Bayda,,,OMAN,Oman,,24,33,0,24.55,56,22,48,56.38,Mafic,1973,,1,2,0,0,0,0,yes,"Massive, stockwork. Surface gossan. Ophiolite.",Cretaceous,100,,,,,,,,,,,,,,"Mafic in midoceanic ridge",yes,,no,yes,"contact of pillow basalts"
619,Beatson,Latouche,,USAK,"United States",Alaska,60,2,47,60.0463888888889,-147,-54,0,-147.9,Mafic,1897,1903,4.5,1.7,0,0,0,9.3,no,"Massive, disseminations, 0.12 km thickness, 2 larger bodies, several smaller bodies. Nearly 5 million t ore produced (Koski and others, 2008).",Tertiary,20,,0.31,0.15,,,,"Zn, Cu, Pb",,,,,,0,"Pelite-mafic in mature oceanic backarc",yes,,no,no,"stratigraphic and NE striking fault"
620,"Bedford Hill",,,CNQU,Canada,Quebec,48,18,42,48.3116666666667,-79,-6,-36,-79.11,Bimodal-Mafic,1926,,0.2,1.5,0,0,0.69,0,yes,"Massive, dissemination, stockwork.",Archean,2700,,,,,,,,,,,,,,"Bimodal-mafic in oceanic arc",yes,greenschist,no,yes,stratigraphic
621,"Bell Allard South",,,CNQU,Canada,Quebec,49,41,23,49.6897222222222,-77,-41,-39,-77.6941666666667,Bimodal-Mafic,1958,1968,0.23,1.35,9.3,0,0.2,34.3,yes,"Massive, stockwork, dissemination.",Archean,2720,,,,,,,,,,,,,18,"Bimodal-mafic in oceanic arc",yes,"lower greenschist",no,yes,stratigraphic
622,"Bell Channel",,,CNQU,Canada,Quebec,49,46,27,49.7741666666667,-77,-37,-7,-77.6186111111111,Bimodal-Mafic,1957,1979,0.08,1.95,0.6,0,0,0,yes,"Massive, dissemination, stringer.",Archean,2600,,,,,,,,,,,,,,"Bimodal-mafic in oceanic arc",yes,amphibolite,no,yes,stratigraphic
623,"Betts Cove",,,CNNF,Canada,Newfoundland,49,48,42,49.8116666666667,-55,-48,-24,-55.8066666666667,Mafic,1874,1875,0.12,10,5,0,0.92,27,yes,"Massive (pyrite-chalcopyrite-sphalerite), dissemination (pyrite), stockwork (quartz-pyrite), stringer (pyrite-chalcopyrite). Some mineralization remobilized into faults. Ophiolite, mid-ocean ridge axis or back-arc rift (arc tholeiitic affinity).",Ordovician,488,,,,,,,"Enriched Fe, Cu, Zn, Al2O3/TiO3; depleted K, Ca, Na, TiO2, Zr, Y, P, REE",,,"spontaneous polarization",0.35,0.05,0,"Mafic in primitive oceanic backarc",yes,greenschist,yes,,"contact between sheeted dikes and pillow basalt"
624,"Bidjovagge (A)",,,NRWY,Norway,,69,17,22,69.2894444444444,22,29,7,22.4852777777778,Bimodal-Mafic,1950,,0.4,2,0,0,3.98,0,no,"Massive, dissemination.",Proterozoic,1500,,,,,,,,,,,,,,"Bimodal-mafic in epicontinental arc",yes,,,,stratigraphic
625,"Bidjovagge (B)",,,NRWY,Norway,,69,17,49,69.2969444444444,22,28,59,22.4830555555556,Bimodal-Mafic,1950,,0.3,1.83,0,0,0,0,no,"Massive, dissemination.",Proterozoic,1500,,,,,,,,,,,,,,"Bimodal-mafic in epicontinental arc",yes,,,,stratigraphic
626,"Bidjovagge (C)",,,NRWY,Norway,,69,16,20,69.2722222222222,22,29,10,22.4861111111111,Bimodal-Mafic,1950,1970,2.32,1.84,2,0.4,0,0,no,"Massive, dissemination.",Proterozoic,1500,,,,,,,,,,,,,,"Bimodal-mafic in epicontinental arc",yes,,,,stratigraphic
627,"Bidjovagge (D)",,,NRWY,Norway,,69,17,6,69.285,22,29,16,22.4877777777778,Bimodal-Mafic,1950,n.d,0.56,1.84,0,0,0,0,no,"Massive, dissemination.",Proterozoic,1500,,,,,,,,,,,,,,"Bimodal-mafic in epicontinental arc",yes,,,,stratigraphic
628,"Big Bend",,"Evening Star, Pinkston",USCA,"United States",California,39,41,19,39.6886111111111,-121,-25,-55,-121.431944444444,Felsic,1942,1942,0.05,1.14,10.7,0.2,1.54,41.4,no,"Massive, 0.01 km thickness, lenticular. Overturned west limb of anticline.",Jurassic,170,,0.08,0.04,,,,,,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",yes,greenschist,,,stratigraphic
629,"Big Hill",,,USME,"United States",Maine,44,57,56,44.9655555555556,-67,-13,-21,-67.2225,Bimodal-Mafic,1906,,0.75,0.13,3,1,0,147.4,yes,"Dissemination, breccia-fillings, irregular stringer. Extensional rift basin in post-arc setting.",Silurian,430,,,,,,,,,,,,,,"Bimodal-mafic in epicontinental arc",,greenschist,,,
630,"Big Mike",,,USNV,"United States",Nevada,40,32,35,40.5430555555556,-117,-33,-37,-117.560277777778,Mafic,1930s,1970,0.1,10,0,0,0,0,yes,"Massive len (pyrite-chalcopyrite-sphalerite), 0.015 km thickness. Stringer of veinlets (quartz-pyrite-carbonate-sericite-chalcopyrite-sphalerite) in footwall and hangingwall. Rift ocean basin ophiolite.",Pennsylvanian-Permian,300,,0.076,0.049,,,,,,,,,,0,"Mafic in primitive oceanic backarc",yes,"lower greenschist",no,yes,stratigraphic
631,Binghampton,"Copper Queen",,USAZ,"United States",Arizona,34,27,22,34.4561111111111,-112,-11,-36,-112.193333333333,Felsic,,1916,0.36,3,0,0,1.71,68.6,no,"Massive, dissemination. 3 ore shoots. Copper Queen is 300 m to the southeast. Surface gossans.",Proterozoic,1640,0.0001,,0.003,,,,"High Hg anomaly above orebodies.",,,,,,0,"Siliciclastic-felsic in mature epicontinental arc",yes,"lower greenschist",,,"stratigraphic, fault zone"
632,"Birch Lake (Main Shear Zone)",,,CNSK,Canada,Saskatchewan,54,39,41,54.6613888888889,-102,-1,-58,-102.032777777778,Bimodal-Mafic,1949,1957,0.27,6.2,0,0,0.14,4.1,no,"Massive tabular lenses in shear zone, disseminations, veinlets. 3 orebodies: Main Shear Zone,  South Pyrite Zone 1,200 m from Main Shear Zone. North Zone is 1,500 m from Main Shear Zone. Juvenile volcanic arc.",Proterozoic,1800,,0.1,0.002,,,,"Bedrock Cu 200 ppm",0.6,0.3,,,,0,"Bimodal-mafic in oceanic arc",yes,greenschist,no,yes,"shear zone contact between two andesite flows, matrix of agglomerate."
633,Bjorkasen,"Hengmalmen, Liggmalmen",,NRWY,Norway,,68,19,56,68.3322222222222,16,48,27,16.8075,Bimodal-Mafic,<1915,1915,6,0.45,1,0,0,0,no,"Massive, 2 lenses (plates) separated by 30 m of schist. Ensimatic.",Ordovician,470,0.000699,,,,,,,,,,,,,"Bimodal-mafic in oceanic arc",,amphibolite,,,stratigraphic
634,Bjurfors,,,SWDN,Sweden,,65,0,26,65.0072222222222,19,36,40,19.6111111111111,Felsic,,1940,0.25,2.65,0.1,0,0.2,9,yes,"Massive, stringer, dissemination, 0.03 km thickness.",Proterozoic,1950,,0.19,0.05,,,,,,,,,,,"Bimodal-felsic in epicontinental arc",yes,amphibolite,no,yes,"stratigraphic contact"
635,Bjurliden,,,SWDN,Sweden,,64,59,45,64.9958333333333,19,41,14,19.6872222222222,Felsic,<1939,,0.1,0.1,3.7,0.2,0.2,40,yes,"Massive, dissemination.",Proterozoic,1950,0.000299,,,,,,,,,,,,,"Bimodal-felsic in epicontinental arc",yes,amphibolite,no,yes,"stratigraphic contact"
636,Bjurtrask,,,SWDN,Sweden,,64,59,33,64.9925,19,43,55,19.7319444444444,Felsic,<1939,,0.02,3.5,6.6,0,1.28,20,yes,"Massive, dissemination.",Proterozoic,1950,0.0001,0.11,0.03,,0.5,0.18,,,,,,,,"Bimodal-felsic in epicontinental arc",yes,amphibolite,no,yes,stratigraphic
